Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
grandpa	11.849773	4.565402	10.963755	4.705916	3.455857	0.256804
grapes	14.426601	4.358878	12.374432	4.730516	3.104296	0.422636
grass	11.689113	3.765819	11.168944	2.669865	3.240226	0.654523
green	11.617860	3.870097	12.874450	3.672831	2.020844	0.902173
gum	11.737240	4.433704	11.127659	4.632453	3.464027	0.333246
hair	11.365877	3.226332	14.583930	2.180391	1.749111	1.338031
hamburger	12.273444	6.675008	11.619160	1.675008	5.249974	2.154116
hammer	11.892742	3.540829	11.385034	0.599381	3.876730	0.839330
hand	11.241149	3.713106	12.913432	3.778051	1.663606	0.981334
happy	11.864242	3.638217	13.350679	0.399432	3.059437	1.400827
hard	11.439719	4.780800	16.439719	2.896603	1.296548	1.923723
hat	11.854464	3.703077	16.854464	1.929462	1.351419	1.669815
hate	12.745770	5.645818	11.428488	6.951530	3.115556	0.194760
have	9.910196	2.230252	11.539208	2.758329	1.280900	0.640563
he	11.494176	2.375185	12.460753	3.141186	1.507579	0.487801
head	11.244275	3.263523	12.241689	3.258819	1.871548	0.745508
hear	11.328193	3.813081	11.608092	4.892185	1.791918	0.637875
heavy	11.564289	4.392094	10.855168	2.770609	3.417303	0.815591
helicopter	11.955002	4.492368	11.502431	3.985314	3.314302	0.671675
hello	11.258899	3.997491	13.721326	4.247170	1.326884	0.985080
help	12.337873	4.190307	14.056004	4.604425	1.748164	0.786066
her	11.664293	2.303810	13.311394	2.517808	1.626739	0.757120
here	10.807130	3.693832	10.545732	4.432338	1.364094	0.201254
hi	11.957992	5.006352	11.031799	6.539552	1.502045	0.109543
hide	12.111914	4.393046	11.927550	2.825648	3.418293	0.777143
high	11.146217	5.453961	12.428929	0.453961	4.007837	2.091264
him	11.461444	2.593495	13.191863	2.955361	1.578287	0.743595
his	11.688272	4.451295	12.699247	4.961563	1.246963	0.574180
hit	11.838727	5.983037	14.955702	1.292552	2.986563	2.581392
hold	11.945770	5.393660	12.091731	6.385693	1.520255	0.325118
home	12.054809	0.792876	16.091333	0.126222	1.583947	1.065162
horse	11.561093	4.027401	14.475508	1.077863	2.489423	1.804260
hose	12.975520	4.987221	12.767127	3.293893	3.498053	0.768321
hot	13.062084	4.244346	11.928824	5.780904	2.181137	0.098571
house	10.389062	2.682339	11.594724	0.989793	2.665599	1.186655
how	11.759284	4.497194	11.639165	5.338420	1.554223	0.248615
hug	11.573659	4.143913	13.123795	-0.856087	3.616613	1.768565
hungry	11.894305	3.888808	13.010600	0.703877	3.064345	1.604765
hurry	11.737926	6.983716	10.986637	6.663375	3.463002	0.549090
hurt	11.157302	4.006011	12.206217	1.138824	3.244886	1.384593
i	11.572531	4.774684	10.523303	4.955302	3.144491	0.381988
ice	12.072476	4.813497	17.072476	4.245579	0.921169	1.502090
if	12.071428	3.669501	12.174346	4.659801	1.538801	0.547427
inside	11.114504	5.012056	13.987332	0.012056	3.322415	2.446149
into	11.425729	5.390196	13.218783	5.756890	1.346696	0.839300
