source,sample_label,language,measure_type,method,subject_id,age_mo,tokens_per_hour,log_r,citation_path
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,24.04977514938705,1568.7397,7.358,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00270002,9.495061500236144,110.5176,4.7052,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320002,11.433499661184008,891.6084,6.793,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00220001,16.230312737427873,3979.5658,8.2889,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,20.27146347974291,1499.946,7.3132,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00220001,18.85870346413684,1690.9323,7.433,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,14.587568533234768,1142.6074,7.0411,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00360001,15.638924823918355,270.0798,5.5987,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400001,23.984065381219327,3200.1654,8.071,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,17.117394607692148,3340.0324,8.1137,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,15.277521098995871,1278.7971,7.1537,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,18.760138811885255,298.7229,5.6995,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,15.047536910408835,675.6977,6.5157,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,20.797141625084706,1526.5944,7.3308,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00220001,15.014682026324977,2426.5645,7.7942,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,16.920265303188977,2387.8781,7.7782,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,13.437647590299596,1404.8579,7.2477,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400002,18.33302531879505,975.126,6.8826,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,20.172898827491323,1102.2384,7.0051,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00360001,15.73748947616994,1583.3402,7.3673,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400001,25.692519353580156,2702.4266,7.9019,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400001,26.28390726708967,3621.0025,8.1945,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00220001,13.076243865377112,1583.6526,7.3675,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00220001,15.474650403499044,4424.1666,8.3948,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,16.62457134643422,1749.5005,7.4671,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320002,19.61436579806567,2133.3937,7.6655,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00360001,9.987884761494076,1662.0864,7.4158,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,19.58151091398181,1680.7152,7.427,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,18.661574159633663,1620.2505,7.3903,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,15.146101562660425,4158.3653,8.3329,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,13.66763177888663,853.129,6.7489,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,21.979917452103734,1915.2672,7.5576,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510001,15.0803917944927,3648.5673,8.2021,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,22.407030945193945,1704.541,7.4411,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00220001,17.675927637117805,3187.7395,8.0671,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320002,13.569067126635044,1217.5293,7.1046,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00820001,33.44627199737161,1664.2052,7.4171,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00430001,20.961416045504013,1345.6894,7.2047,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00370001,17.150249491776012,1949.4975,7.5753,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,15.277521098995871,1074.6269,6.9797,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00360001,14.489003880983182,2702.6869,7.902,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,17.938766709788702,775.1051,6.653,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,17.084539723608287,2046.3858,7.6238,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00270002,9.560771268403869,2288.6335,7.7357,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,19.844349986652706,2731.8305,7.9127,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,18.661574159633663,3134.9724,8.0504,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400003,19.68007556623339,3764.9752,8.2335,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00380001,12.649130372286905,2722.8608,7.9094,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,11.104950820345389,1026.5311,6.9339,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,12.74769502453849,480.2043,6.1742,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320002,17.347378796279184,1800.4872,7.4958,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,17.084539723608287,1043.5946,6.9504,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00360001,16.197457853344012,1763.0875,7.4748,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,20.008624407072013,2303.9401,7.7424,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,13.174808517628698,1162.7823,7.0586,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,18.85870346413684,1461.0425,7.2869,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,14.78469783773794,2158.7731,7.6773,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,18.39873508696277,1807.5627,7.4997,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400001,25.889648658083328,2002.8989,7.6024,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,12.944824329041664,1659.5904,7.4143,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00360001,13.109098749460976,2700.6033,7.9012,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400001,25.75822912174788,2768.1473,7.9259,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,20.797141625084706,1266.525,7.144,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400003,19.220107189059323,4184.0505,8.339,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00380001,13.733341547054351,2887.1575,7.968,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00230001,12.189161995112835,1437.6211,7.2707,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,13.404792706215732,4464.8787,8.404,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510001,17.643072753033945,1806.2214,7.499,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400001,26.28390726708967,2287.8805,7.7354,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,12.057742458777389,2244.1457,7.7161,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400001,27.105279369186224,5936.143,8.6888,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400001,29.832234748146774,2865.8767,7.9606,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,15.73748947616994,1737.3207,7.4601,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,10.612127559087456,899.106,6.8014,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00220001,11.9591778065258,3821.2005,8.2483,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400002,22.702724901948702,1686.6009,7.4305,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,20.797141625084706,1067.6795,6.9732,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,16.427442041931045,1790.7093,7.4904,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,18.168750898375738,845.1312,6.7395,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,18.92441323230457,1105.142,7.0077,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00370001,13.864761083389803,1127.8849,7.0281,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00430001,30.52218731390788,3015.966,8.0117,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,18.69442904371753,1642.3266,7.4039,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,13.864761083389803,4729.6331,8.4616,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510001,14.554713649150909,2852.9232,7.9561,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00360001,13.766196431138216,756.7433,6.629,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320002,14.061890387892976,2252.8736,7.72,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,14.948972258157252,842.9049,6.7369,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,13.864761083389803,4444.4444,8.3994,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320002,11.17066058851311,1257.8798,7.1372,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400002,24.279759337974085,693.0581,6.5411,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,14.324729460563873,341.1752,5.8324,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,14.489003880983182,1592.1537,7.3728,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510001,16.32887738967946,1024.911,6.9324,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00300001,8.837963818558903,113.8324,4.7347,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,22.702724901948702,834.2639,6.7265,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00270002,8.575124745888006,5756.3428,8.6581,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400002,21.22425511817491,1236.2605,7.1198,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,21.84849791576829,1171.5199,7.0661,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,18.103041130208013,924.9313,6.8297,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320002,20.698576972833116,1153.0542,7.0502,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400001,24.871147251483603,2177.5043,7.6859,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,22.702724901948702,604.403,6.4042,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400001,22.702724901948702,3233.017,8.0812,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320002,13.569067126635044,1206.0084,7.0951,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,17.150249491776012,485.4864,6.1852,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400002,19.252962073143184,899.0992,6.8014,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00220001,14.29187457648001,2692.2095,7.8981,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00380001,12.649130372286905,3010.0834,8.0097,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510001,16.920265303188977,2458.4726,7.8073,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,16.65742623051808,3202.765,8.0718,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00360001,14.029035503809112,1764.8454,7.4758,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,13.437647590299596,4613.0268,8.4366,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00220001,10.546417790919731,3181.6826,8.0652,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00360001,15.047536910408835,3656.1238,8.2042,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,11.564919197519457,1108.5568,7.0108,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00220001,11.13780570442925,2380.5875,7.7751,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510001,17.380233680363045,1971.4609,7.5865,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,17.248814144027598,2524.6962,7.8339,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,16.066038317008562,1154.5338,7.0515,data/raw_data/babyview/README.md
