item,form,AM2018,FM2012,FMW2013,FPM2006,SEEDLingS,babyview,n_datasets,flag
nap,WG/WS,nap,nap,nap,nap,Talk_nap,nap,6,
naughty,WG/WS,naughty,naughty,naughty,naughty,Talk_naughty,naughty,6,
nice,WG/WS,nice,nice,nice,nice,Talk_nice,nice,6,
night,WG/WS,night,night,night,night,Talk_night,night,6,
no,WG/WS,no,no,no,no,Talk_no,no,6,
none,WG/WS,none,none,none,none,Talk_none,none,6,
noodles,WG/WS,noodles,noodles,noodles,noodles,Talk_noodles,noodles,6,
nose,WG/WS,nose,nose,nose,nose,Talk_nose,nose,6,
now,WG/WS,now,now,now,now,Talk_now,now,6,
off,WG/WS,off,off,off,off,Talk_off,off,6,
old,WG/WS,old,old,old,old,Talk_old,old,6,
on,WG/WS,on,on,on,on,Talk_on,on,6,
open,WG/WS,open,open,open,open,Talk_open,open,6,
other,WG/WS,other,other,other,other,Talk_other,other,6,
ouch,WG/WS,ouch,ouch,ouch,ouch,Talk_ouch,ouch,6,
out,WG/WS,out,out,out,out,Talk_out,out,6,
oven,WG/WS,oven,oven,oven,oven,Talk_oven,oven,6,
owl,WG/WS,owl,owl,owl,owl,Talk_owl,owl,6,
pants,WG/WS,pants,pants,pants,pants,Talk_pants,pants,6,
paper,WG/WS,paper,paper,paper,paper,Talk_paper,paper,6,
park,WG/WS,park,park,park,park,Talk_park,park,6,
party,WG/WS,party,party,party,party,Talk_party,party,6,
peas,WG/WS,peas,peas,peas,peas,Talk_peas,peas,6,
pen,WG/WS,pen,pen,pen,pen,Talk_pen,pen,6,
penguin,WG/WS,penguin,penguin,penguin,penguin,Talk_penguin,penguin,6,
penny,WG/WS,penny,penny,penny,penny,Talk_penny,penny,6,
people,WG/WS,people,people,people,people,Talk_people,people,6,
person,WG/WS,person,person,person,person,Talk_person,person,6,
pig,WG/WS,pig,pig,pig,pig,Talk_pig,pig,6,
pizza,WG/WS,pizza,pizza,pizza,pizza,Talk_pizza,pizza,6,
plant,WG/WS,plant,plant,plant,plant,Talk_plant,plant,6,
plate,WG/WS,plate,plate,plate,plate,Talk_plate,plate,6,
play,WG/WS,play,play,play,play,Talk_play,play,6,
play pen,WG/WS,playpen,playpen,playpen,playpen,Talk_playpen,play_pen,6,
please,WG/WS,please,please,please,please,Talk_please,please,6,
pony,WG/WS,pony,pony,pony,pony,Talk_pony,pony,6,
pool,WG/WS,pool,pool,pool,pool,Talk_pool,pool,6,
potty,WG/WS,potty,potty,potty,potty,Talk_potty,potty,6,
pretty,WG/WS,pretty,pretty,pretty,pretty,Talk_pretty,pretty,6,
pull,WG/WS,pull,pull,pull,pull,Talk_pull,pull,6,
puppy,WG/WS,puppy,puppy,puppy,puppy,Talk_puppy,puppy,6,
purse,WG/WS,purse,purse,purse,purse,Talk_purse,purse,6,
push,WG/WS,push,push,push,push,Talk_push,push,6,
put,WG/WS,put,put,put,put,Talk_put,put,6,
radio,WG/WS,radio,radio,radio,radio,Talk_radio,radio,6,
rain,WG/WS,rain,rain,rain,rain,Talk_rain,rain,6,
read,WG/WS,read,read,read,read,Talk_read,read,6,
red,WG/WS,red,red,red,red,Talk_red,red,6,
ride,WG/WS,ride,ride,ride,ride,Talk_ride,ride,6,
rock,WG/WS,rock,rock,rock,rock,Talk_rock,rock,6,
run,WG/WS,run,run,run,run,Talk_run,run,6,
same,WG/WS,same,same,same,same,Talk_same,same,6,
say,WG/WS,say,say,say,say,Talk_say,say,6,
school,WG/WS,school,school,school,school,Talk_school,school,6,
see,WG/WS,see,see,see,see,Talk_see,see,6,
sheep,WG/WS,sheep,sheep,sheep,sheep,Talk_sheep,sheep,6,
shirt,WG/WS,shirt,shirt,shirt,shirt,Talk_shirt,shirt,6,
shoe,WG/WS,shoe,shoe,shoe,shoe,Talk_shoe,shoe,6,
shorts,WG/WS,shorts,shorts,shorts,shorts,Talk_shorts,shorts,6,
shovel,WG/WS,shovel,shovel,shovel,shovel,Talk_shovel,shovel,6,
show,WG/WS,show,show,show,show,Talk_show,show,6,
sick,WG/WS,sick,sick,sick,sick,Talk_sick,sick,6,
sing,WG/WS,sing,sing,sing,sing,Talk_sing,sing,6,
sink,WG/WS,sink,sink,sink,sink,Talk_sink,sink,6,
sister,WG/WS,sister,sister,sister,sister,Talk_sister,sister,6,
sky,WG/WS,sky,sky,sky,sky,Talk_sky,sky,6,
sleep,WG/WS,sleep,sleep,sleep,sleep,Talk_sleep,sleep,6,
sleepy,WG/WS,sleepy,sleepy,sleepy,sleepy,Talk_sleepy,sleepy,6,
smile,WG/WS,smile,smile,smile,smile,Talk_smile,smile,6,
snow,WG/WS,snow,snow,snow,snow,Talk_snow,snow,6,
soap,WG/WS,soap,soap,soap,soap,Talk_soap,soap,6,
sock,WG/WS,sock,sock,sock,sock,Talk_sock,sock,6,
soft,WG/WS,soft,soft,soft,soft,Talk_soft,soft,6,
some,WG/WS,some,some,some,some,Talk_some,some,6,
splash,WG/WS,splash,splash,splash,splash,Talk_splash,splash,6,
spoon,WG/WS,spoon,spoon,spoon,spoon,Talk_spoon,spoon,6,
stairs,WG/WS,stairs,stairs,stairs,stairs,Talk_stairs,stairs,6,
star,WG/WS,star,star,star,star,Talk_star,star,6,
stop,WG/WS,stop,stop,stop,stop,Talk_stop,stop,6,
store,WG/WS,store,store,store,store,Talk_store,store,6,
stove,WG/WS,stove,stove,stove,stove,Talk_stove,stove,6,
stroller,WG/WS,stroller,stroller,stroller,stroller,Talk_stroller,stroller,6,
sun,WG/WS,sun,sun,sun,sun,Talk_sun,sun,6,
sweater,WG/WS,sweater,sweater,sweater,sweater,Talk_sweater,sweater,6,
swim,WG/WS,swim,swim,swim,swim,Talk_swim,swim,6,
table,WG/WS,table,table,table,table,Talk_table,table,6,
take,WG/WS,take,take,take,take,Talk_take,take,6,
teacher,WG/WS,teacher,teacher,teacher,teacher,Talk_teacher,teacher,6,
that,WG/WS,that,that,that,that,Talk_that,that,6,
there,WG/WS,there,there,there,there,Talk_there,there,6,
this,WG/WS,this,this,this,this,Talk_this,this,6,
throw,WG/WS,throw,throw,throw,throw,Talk_throw,throw,6,
tickle,WG/WS,tickle,tickle,tickle,tickle,Talk_tickle,tickle,6,
tiger,WG/WS,tiger,tiger,tiger,tiger,Talk_tiger,tiger,6,
tired,WG/WS,tired,tired,tired,tired,Talk_tired,tired,6,
toast,WG/WS,toast,toast,toast,toast,Talk_toast,toast,6,
today,WG/WS,today,today,today,today,Talk_today,today,6,
toe,WG/WS,toe,toe,toe,toe,Talk_toe,toe,6,
tongue,WG/WS,tongue,tongue,tongue,tongue,Talk_tongue,tongue,6,
tooth,WG/WS,tooth,tooth,tooth,tooth,Talk_tooth,tooth,6,
touch,WG/WS,touch,touch,touch,touch,Talk_touch,touch,6,
towel,WG/WS,towel,towel,towel,towel,Talk_towel,towel,6,
train,WG/WS,train,train,train,train,Talk_train,train,6,
trash,WG/WS,trash,trash,trash,trash,Talk_trash,trash,6,
tree,WG/WS,tree,tree,tree,tree,Talk_tree,tree,6,
truck,WG/WS,truck,truck,truck,truck,Talk_truck,truck,6,
tummy,WG/WS,tummy,tummy,tummy,tummy,Talk_tummy,tummy,6,
turkey,WG/WS,turkey,turkey,turkey,turkey,Talk_turkey,turkey,6,
turtle,WG/WS,turtle,turtle,turtle,turtle,Talk_turtle,turtle,6,
uncle,WG/WS,uncle,uncle,uncle,uncle,Talk_uncle,uncle,6,
vacuum,WG/WS,vacuum,vacuum,vacuum,vacuum,Talk_vacuum,vacuum,6,
vroom,WG/WS,vroom,vroom,vroom,vroom,Talk_vroom,vroom,6,
wait,WG/WS,wait,wait,wait,wait,Talk_wait,wait,6,
walk,WG/WS,walk,walk,walk,walk,Talk_walk,walk,6,
wash,WG/WS,wash,wash,wash,wash,Talk_wash,wash,6,
wet,WG/WS,wet,wet,wet,wet,Talk_wet,wet,6,
what,WG/WS,what,what,what,what,Talk_what,what,6,
when,WG/WS,when,when,when,when,Talk_when,when,6,
where,WG/WS,where,where,where,where,Talk_where,where,6,
who,WG/WS,who,who,who,who,Talk_who,who,6,
why,WG/WS,why,why,why,why,Talk_why,why,6,
window,WG/WS,window,window,window,window,Talk_window,window,6,
wipe,WG/WS,wipe,wipe,wipe,wipe,Talk_wipe,wipe,6,
write,WG/WS,write,write,write,write,Talk_write,write,6,
yes,WG/WS,yes,yes,yes,yes,Talk_yes,yes,6,
you,WG/WS,you,you,you,you,Talk_you,you,6,
your,WG/WS,your,your,your,your,Talk_your,your,6,
zipper,WG/WS,zipper,zipper,zipper,zipper,Talk_zipper,zipper,6,
zoo,WG/WS,zoo,zoo,zoo,zoo,Talk_zoo,zoo,6,
a,WS,a,a,a,a,NA,a,5,
a lot,WS,alot,alot,alot,alot,NA,a_lot,5,
about,WS,about,about,about,about,NA,about,5,
above,WS,above,above,above,above,NA,above,5,
after,WS,after,after,after,after,NA,after,5,
am,WS,am,am,am,am,NA,am,5,
an,WS,an,an,an,an,NA,an,5,
ankle,WS,ankle,ankle,ankle,ankle,NA,ankle,5,
ant,WS,ant,ant,ant,ant,NA,ant,5,
any,WS,any,any,any,any,NA,any,5,
are,WS,are,are,are,are,NA,are,5,
around,WS,around,around,around,around,NA,around,5,
awake,WS,awake,awake,awake,awake,NA,awake,5,
basement,WS,basement,basement,basement,basement,NA,basement,5,
basket,WS,basket,basket,basket,basket,NA,basket,5,
bat,WS,bat,bat,bat,bat,NA,bat,5,
be,WS,be,be,be,be,NA,be,5,
beans,WS,beans,beans,beans,beans,NA,beans,5,
because,WS,because,because,because,because,NA,because,5,
before,WS,before,before,before,before,NA,before,5,
behind,WS,behind,behind,behind,behind,NA,behind,5,
belt,WS,belt,belt,belt,belt,NA,belt,5,
bench,WS,bench,bench,bench,bench,NA,bench,5,
beside,WS,beside,beside,beside,beside,NA,beside,5,
better,WS,better,better,better,better,NA,better,5,
black,WS,black,black,black,black,NA,black,5,
boat,WS,boat,boat,boat,boat,NA,boat,5,
brown,WS,brown,brown,brown,brown,NA,brown,5,
bucket,WS,bucket,bucket,bucket,bucket,NA,bucket,5,
build,WS,build,build,build,build,NA,build,5,
but,WS,but,but,but,but,NA,but,5,
buy,WS,buy,buy,buy,buy,NA,buy,5,
camera,WS,camera,camera,camera,camera,NA,camera,5,
carry,WS,carry,carry,carry,carry,NA,carry,5,
catch,WS,catch,catch,catch,catch,NA,catch,5,
chalk,WS,chalk,chalk,chalk,chalk,NA,chalk,5,
chase,WS,chase,chase,chase,chase,NA,chase,5,
chin,WS,chin,chin,chin,chin,NA,chin,5,
circus,WS,circus,circus,circus,circus,NA,circus,5,
clap,WS,clap,clap,clap,clap,NA,clap,5,
climb,WS,climb,climb,climb,climb,NA,climb,5,
closet,WS,closet,closet,closet,closet,NA,closet,5,
cloud,WS,cloud,cloud,cloud,cloud,NA,cloud,5,
clown,WS,clown,clown,clown,clown,NA,clown,5,
coke,WS,coke,coke,coke,coke,NA,coke,5,
cook,WS,cook,cook,cook,cook,NA,cook,5,
corn,WS,corn,corn,corn,corn,NA,corn,5,
could,WS,could,could,could,could,NA,could,5,
country,WS,country,country,country,country,NA,country_word,5,
cover,WS,cover,cover,cover,cover,NA,cover,5,
cowboy,WS,cowboy,cowboy,cowboy,cowboy,NA,cowboy,5,
crayon,WS,crayon,crayon,crayon,crayon,NA,crayon,5,
cut,WS,cut,cut,cut,cut,NA,cut,5,
do,WS,do,do,do,do,NA,do,5,
doctor,WS,doctor,doctor,doctor,doctor,NA,doctor,5,
does,WS,does,does,does,does,NA,does,5,
donut,WS,donut,donut,donut,donut,NA,donut,5,
drop,WS,drop,drop,drop,drop,NA,drop,5,
dryer,WS,dryer,dryer,dryer,dryer,NA,dryer,5,
dump,WS,dump,dump,dump,dump,NA,dump,5,
each,WS,each,each,each,each,NA,each,5,
every,WS,every,every,every,every,NA,every,5,
farm,WS,farm,farm,farm,farm,NA,farm,5,
find,WS,find,find,find,find,NA,find,5,
fireman,WS,fireman,fireman,fireman,fireman,NA,fireman,5,
first,WS,first,first,first,first,NA,first,5,
fit,WS,fit,fit,fit,fit,NA,fit,5,
fix,WS,fix,fix,fix,fix,NA,fix,5,
flag,WS,flag,flag,flag,flag,NA,flag,5,
for,WS,for,for,for,for,NA,for,5,
friend,WS,friend,friend,friend,friend,NA,friend,5,
full,WS,full,full,full,full,NA,full,5,
game,WS,game,game,game,game,NA,game,5,
gloves,WS,gloves,gloves,gloves,gloves,NA,gloves,5,
glue,WS,glue,glue,glue,glue,NA,glue,5,
grapes,WS,grapes,grapes,grapes,grapes,NA,grapes,5,
grass,WS,grass,grass,grass,grass,NA,grass,5,
green,WS,green,green,green,green,NA,green,5,
gum,WS,gum,gum,gum,gum,NA,gum,5,
have,WS,have,have,have,have,NA,have,5,
he,WS,he,he,he,he,NA,he,5,
hear,WS,hear,hear,hear,hear,NA,hear,5,
heavy,WS,heavy,heavy,heavy,heavy,NA,heavy,5,
hen,WS,hen,hen,hen,hen,NA,hen,5,
here,WS,here,here,here,here,NA,here,5,
hers,WS,hers,hers,hers,hers,NA,hers,5,
hide,WS,hide,hide,hide,hide,NA,hide,5,
high,WS,high,high,high,high,NA,high,5,
him,WS,him,him,him,him,NA,him,5,
hold,WS,hold,hold,hold,hold,NA,hold,5,
hose,WS,hose,hose,hose,hose,NA,hose,5,
ice,WS,ice,ice,ice,ice,NA,ice,5,
into,WS,into,into,into,into,NA,into,5,
is,WS,is,is,is,is,NA,is,5,
jar,WS,jar,jar,jar,jar,NA,jar,5,
jello,WS,jello,jello,jello,jello,NA,jello,5,
jelly,WS,jelly,jelly,jelly,jelly,NA,jelly,5,
knife,WS,knife,knife,knife,knife,NA,knife,5,
knock,WS,knock,knock,knock,knock,NA,knock,5,
ladder,WS,ladder,ladder,ladder,ladder,NA,ladder,5,
last,WS,last,last,last,last,NA,last,5,
lick,WS,lick,lick,lick,lick,NA,lick,5,
like,WS,like,like,like,like,NA,like,5,
lips,WS,lips,lips,lips,lips,NA,lips,5,
listen,WS,listen,listen,listen,listen,NA,listen,5,
lollipop,WS,lollipop,lollipop,lollipop,lollipop,NA,lollipop,5,
long,WS,long,long,long,long,NA,long,5,
loud,WS,loud,loud,loud,loud,NA,loud,5,
mad,WS,mad,mad,mad,mad,NA,mad,5,
mailman,WS,mailman,mailman,mailman,mailman,NA,mailman,5,
make,WS,make,make,make,make,NA,make,5,
melon,WS,melon,melon,melon,melon,NA,melon,5,
moose,WS,moose,moose,moose,moose,NA,moose,5,
mop,WS,mop,mop,mop,mop,NA,mop,5,
movie,WS,movie,movie,movie,movie,NA,movie,5,
much,WS,much,much,much,much,NA,much,5,
muffin,WS,muffin,muffin,muffin,muffin,NA,muffin,5,
nail,WS,nail,nail,nail,nail,NA,nail,5,
new,WS,new,new,new,new,NA,new,5,
noisy,WS,noisy,noisy,noisy,noisy,NA,noisy,5,
nurse,WS,nurse,nurse,nurse,nurse,NA,nurse,5,
nuts,WS,nuts,nuts,nuts,nuts,NA,nuts,5,
of,WS,of,of,of,of,NA,of,5,
our,WS,our,our,our,our,NA,our,5,
over,WS,over,over,over,over,NA,over,5,
paint,WS,paint,paint,paint,paint,NA,paint,5,
pencil,WS,pencil,pencil,pencil,pencil,NA,pencil,5,
pick,WS,pick,pick,pick,pick,NA,pick,5,
pickle,WS,pickle,pickle,pickle,pickle,NA,pickle,5,
police,WS,police,police,police,police,NA,police,5,
poor,WS,poor,poor,poor,poor,NA,poor,5,
porch,WS,porch,porch,porch,porch,NA,porch,5,
potato,WS,potato,potato,potato,potato,NA,potato,5,
pour,WS,pour,pour,pour,pour,NA,pour,5,
present,WS,present,present,present,present,NA,present,5,
pudding,WS,pudding,pudding,pudding,pudding,NA,pudding,5,
puzzle,WS,puzzle,puzzle,puzzle,puzzle,NA,puzzle,5,
quiet,WS,quiet,quiet,quiet,quiet,NA,quiet,5,
rip,WS,rip,rip,rip,rip,NA,rip,5,
roof,WS,roof,roof,roof,roof,NA,roof,5,
room,WS,room,room,room,room,NA,room,5,
rooster,WS,rooster,rooster,rooster,rooster,NA,rooster,5,
sad,WS,sad,sad,sad,sad,NA,sad,5,
salt,WS,salt,salt,salt,salt,NA,salt,5,
sandbox,WS,sandbox,sandbox,sandbox,sandbox,NA,sandbox,5,
sauce,WS,sauce,sauce,sauce,sauce,NA,sauce,5,
scarf,WS,scarf,scarf,scarf,scarf,NA,scarf,5,
shake,WS,shake,shake,shake,shake,NA,shake,5,
share,WS,share,share,share,share,NA,share,5,
she,WS,she,she,she,she,NA,she,5,
shoulder,WS,shoulder,shoulder,shoulder,shoulder,NA,shoulder,5,
shower,WS,shower,shower,shower,shower,NA,shower,5,
sit,WS,sit,sit,sit,sit,NA,sit,5,
skate,WS,skate,skate,skate,skate,NA,skate,5,
sled,WS,sled,sled,sled,sled,NA,sled,5,
slow,WS,slow,slow,slow,slow,NA,slow,5,
snack,WS,snack,snack,snack,snack,NA,snack,5,
snowman,WS,snowman,snowman,snowman,snowman,NA,snowman,5,
sofa,WS,sofa,sofa,sofa,sofa,NA,sofa,5,
soup,WS,soup,soup,soup,soup,NA,soup,5,
spill,WS,spill,spill,spill,spill,NA,spill,5,
stand,WS,stand,stand,stand,stand,NA,stand,5,
stay,WS,stay,stay,stay,stay,NA,stay,5,
stick,WS,stick,stick,stick,stick,NA,stick,5,
sticky,WS,sticky,sticky,sticky,sticky,NA,sticky,5,
stone,WS,stone,stone,stone,stone,NA,stone,5,
story,WS,story,story,story,story,NA,story,5,
street,WS,street,street,street,street,NA,street,5,
stuck,WS,stuck,stuck,stuck,stuck,NA,stuck,5,
sweep,WS,sweep,sweep,sweep,sweep,NA,sweep,5,
talk,WS,talk,talk,talk,talk,NA,talk,5,
tape,WS,tape,tape,tape,tape,NA,tape,5,
taste,WS,taste,taste,taste,taste,NA,taste,5,
tear,WS,tear,tear,tear,tear,NA,tear,5,
the,WS,the,the,the,the,NA,the,5,
their,WS,their,their,their,their,NA,their,5,
them,WS,them,them,them,them,NA,them,5,
these,WS,these,these,these,these,NA,these,5,
they,WS,they,they,they,they,NA,they,5,
think,WS,think,think,think,think,NA,think,5,
those,WS,those,those,those,those,NA,those,5,
tights,WS,tights,tights,tights,tights,NA,tights,5,
time,WS,time,time,time,time,NA,time,5,
tiny,WS,tiny,tiny,tiny,tiny,NA,tiny,5,
too,WS,too,too,too,too,NA,too,5,
tractor,WS,tractor,tractor,tractor,tractor,NA,tractor,5,
tray,WS,tray,tray,tray,tray,NA,tray,5,
tricycle,WS,tricycle,tricycle,tricycle,tricycle,NA,tricycle,5,
tuna,WS,tuna,tuna,tuna,tuna,NA,tuna,5,
us,WS,us,us,us,us,NA,us,5,
vanilla,WS,vanilla,vanilla,vanilla,vanilla,NA,vanilla,5,
wake,WS,wake,wake,wake,wake,NA,wake,5,
was,WS,was,was,was,was,NA,was,5,
we,WS,we,we,we,we,NA,we,5,
were,WS,were,were,were,were,NA,were,5,
which,WS,which,which,which,which,NA,which,5,
white,WS,white,white,white,white,NA,white,5,
will,WS,will,will,will,will,NA,will,5,
wind,WS,wind,wind,wind,wind,NA,wind,5,
wish,WS,wish,wish,wish,wish,NA,wish,5,
wolf,WS,wolf,wolf,wolf,wolf,NA,wolf,5,
woods,WS,woods,woods,woods,woods,NA,woods,5,
would,WS,would,would,would,would,NA,would,5,
yard,WS,yard,yard,yard,yard,NA,yard,5,
yogurt,WS,yogurt,yogurt,yogurt,yogurt,NA,yogurt,5,
zebra,WS,zebra,zebra,zebra,zebra,NA,zebra,5,
