Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
donut	14.932170	4.477427	12.551855	5.488046	3.544226	0.275206
door	11.239991	1.969761	10.972744	1.257451	2.851999	0.873894
down	11.695059	2.327408	14.228304	2.284019	1.619316	0.940409
downtown	14.813732	6.380458	12.832709	7.549083	3.722473	0.163038
draw	13.929114	3.167579	11.658985	4.119494	2.905697	0.222157
drawer	12.218165	4.039876	11.401715	3.888320	3.472614	0.505178
dress	11.313503	4.926452	10.585188	5.286252	3.226482	0.533796
drink	12.095390	3.292958	13.191688	2.705200	2.240608	1.037604
drive	11.426651	3.732258	11.283011	3.571417	3.124929	0.560715
drop	12.228049	5.097840	13.639040	1.939259	3.300979	1.826885
dry	11.948340	4.691769	12.111768	3.091379	3.339930	1.273079
dryer	13.235798	7.120045	11.500061	7.679635	3.793819	0.253694
duck	11.351010	3.878025	13.231696	3.986436	1.872014	1.063029
dump	11.663731	4.851479	11.381644	4.585000	3.509231	0.665394
each	11.794863	6.080939	12.404339	4.254959	3.159882	1.430020
ear	11.260879	4.395287	10.905714	4.425788	2.950556	0.720327
eat	11.016626	3.031728	12.736803	3.408537	1.535337	0.705587
egg	12.943142	3.932943	11.886230	4.604385	2.628839	0.292020
elephant	11.405687	3.775782	10.888957	4.151269	2.730959	0.427439
empty	13.683006	5.468462	12.208148	5.745871	3.000157	0.484622
every	10.991506	7.159742	11.744345	6.876561	2.425430	1.622827
eye	11.411594	4.881372	12.770090	4.825697	2.123056	1.129919
face	12.046433	3.945697	12.953985	4.210260	2.072706	0.819158
fall	11.475645	3.611859	12.121959	3.580581	2.444824	0.881071
farm	12.214507	3.172481	14.647107	-1.827519	3.305455	1.932470
fast	11.362798	3.386356	10.513923	3.547867	3.170343	0.444406
feed	11.424528	5.111167	16.424528	4.811086	0.725955	1.717720
find	11.655529	3.219125	12.454679	3.348551	1.957231	0.734830
fine	12.339651	4.771189	15.579910	2.817181	2.180949	1.749153
finger	11.333555	3.685382	11.786911	3.715564	2.588159	0.698359
finish	11.357799	5.669646	11.737234	5.614472	2.528494	0.786877
first	11.790095	4.578750	16.790095	2.336499	1.543462	2.022606
fish	11.404365	4.018797	11.073042	4.372987	2.675466	0.474983
fit	12.237828	2.925648	12.023587	2.990682	2.687439	0.695967
fix	12.702408	3.645627	11.554554	4.831530	2.684871	0.376576
flag	13.329726	5.379402	11.893454	5.567977	3.417723	0.410384
flower	12.623691	5.347687	11.148910	6.368566	2.692639	0.291798
food	12.330005	3.794595	17.330005	4.322872	0.960534	1.130858
foot	11.578389	2.285323	13.226295	-2.714677	3.450492	1.882487
for	11.753130	3.437784	11.477982	4.133608	1.528187	0.430368
fork	12.932690	3.770487	11.698539	3.987497	3.094091	0.480000
french	12.031975	5.990710	11.075548	6.442408	3.631181	0.276158
friend	11.341375	2.867170	11.597927	1.390147	2.992972	1.046488
frog	11.413328	3.697807	14.630403	1.170468	2.494810	1.872506
full	11.086890	5.157480	10.352095	5.153977	3.464421	0.386748
game	11.083074	2.949621	10.531538	2.441627	3.445221	0.557292
garage	13.096824	3.643654	11.702950	3.916652	3.036718	0.380660
garbage	13.162569	3.006094	11.675794	3.272004	3.189955	0.500538
garden	13.128931	3.095666	11.967054	4.124526	2.854661	0.288747
gas	12.094740	5.652199	11.514511	5.633735	3.476731	0.394958
gentle	11.535234	5.158316	12.355898	3.977615	2.908720	1.367425
get	11.249917	3.310918	10.574423	4.057009	1.501762	0.293799
giraffe	12.480871	3.781433	12.211824	4.282560	2.908226	0.527625
girl	11.751002	1.761602	10.791540	2.327446	2.245395	0.536967
give	11.693904	3.361509	14.014713	3.869585	1.326862	0.740252
glass	11.246403	5.286515	10.685272	5.462368	3.340065	0.440394
glasses	11.792301	3.343657	10.899603	3.015766	3.403704	0.534656
gloves	12.704611	4.613569	11.318977	5.111870	3.633438	0.252852
glue	13.676790	4.890595	12.302975	5.621200	3.349633	0.250429
go	11.878850	1.607404	13.571490	2.054662	1.461245	0.633162
good	11.528914	3.468167	11.405126	4.140087	1.571097	0.342514
goose	11.551228	4.469729	11.655118	0.983366	4.009381	1.387658
grandma	12.263894	5.037174	10.968614	4.253157	3.596723	0.641201
grandpa	11.468421	3.881321	10.493064	4.201689	3.581092	0.253264
grapes	13.207670	3.985212	11.823138	4.470163	3.151275	0.385394
grass	12.508136	3.016845	11.446848	2.715888	3.195879	0.567292
green	11.822518	3.477926	13.060112	3.312222	2.031232	0.967669
gum	11.712204	4.298793	10.796324	4.676660	3.556193	0.217177
hair	11.696965	2.578809	16.696965	1.497104	1.375611	1.540798
hamburger	11.809117	5.104077	15.044585	0.104077	3.853054	3.053307
hammer	12.710234	2.488434	11.427164	3.314649	3.352052	0.451091
hand	11.212410	3.295672	13.385678	3.867680	1.482452	1.026862
happy	11.944973	3.184506	12.855603	1.485937	2.887565	1.214223
hard	11.688970	4.522494	16.688970	3.580436	1.097645	1.665012
hat	11.455669	2.765688	14.950529	1.960462	1.857244	1.366628
hate	12.108216	5.396834	11.124006	6.678992	3.421997	0.218654
